"entidad","nom_ent","mun","nom_mun","loc","nom_loc","longitud","latitud","altitud","pobtot","pmascul","pfemeni","pob0_4","p5_mas","pob6_14","pob12_","pob15_","pob15_17","pob15_24","pobf15_49","pob18_","pmasc18_","pfemen18_","psderss","pcderss","pderimss","pderiste","pnacent","pnacoent","p5_res95","p5_reso95","pcondisc","pcdismot","pcdisaud","pcdisvis","pcdismen","pcdislen","psindisc","p6_14slee","p6_14nlee","p15_alfab","p15_analf","p5_asiesc","p5_naesc","p6_14aesc","p6_14naesc","p15_17aesc","p15_24aesc","p15_24nesc","p15_sinstr","p15_sprima","p15_cprima","p15_pospri","p15_ssecu","p15_csecu","p15_sinsec","p15_consec","p15_cmedss","p18_smedsu","p18_cmedsu","p18_csuper","gradoesco","psolter12_","pcasada12_","p5_hli","p5_hliyne","p5_hliye","p5_catolic","p5_ncatoli","p5_sinreli","pecoactiv","pecoinact","pocupada","pocusecp","pocusecs","pocusect","pocuningr","p_1sm","p1_2sm","p2_5sm","p6_10sm","p10_sm","pnotraba","p_32htra","p33_40htr","p41_48htr","p48_htr","totvivhab","vivparhab","ocuvivpar","pro_ovp","pro_ocvp","vp_pardes","vp_tecdes","vp_pisdes","vp_ccuart","vp2_5cuar","vp_2cuar","v_1cuarto","vp_cocgas","vp_coclen","vp_coccar","vp_cocpet","vp_sersan","vp_aguent","vp_drenaj","vp_electr","vp_dreagu","vp_dreele","vp_aguele","vp_agdrel","vp_noade","vp_propia","vp_ppagad","vp_ppagan","vp_rentad","vp_cbiene","vp_sbiene","vp_radio","vp_tv","vp_video","vp_refri","vp_lavad","vp_telef","vp_boiler","vp_autom","tothog","hogjefm","hogjeff","pobhog","phogjefm","phogjeff"
22,Querétaro,000,Total de la entidad Querétaro,0000,TOTAL DE LA ENTIDAD,,,,1404306,680966,723340,163581,1224088,302786,982878,885463,93096,289805,383844,792367,373497,418870,738754,637813,573303,61310,1098154,289406,1137537,82369,22165,10115,3451,5645,3568,1007,1363211,263841,37757,798112,86720,25012,8642,277740,23540,46902,86729,202147,101950,127243,183134,464653,38197,182399,412504,223898,240755,563926,122180,98299,8,395302,524629,25269,1687,22896,1166221,36617,47966,485917,492349,479980,41479,177274,244521,28278,31484,140502,173650,46383,29079,5881,71010,98586,152980,133399,298372,295143,1387927,4.70,1.56,1662,6204,265944,57560,213070,49433,20968,249840,41750,188,47,236877,260314,223465,277436,214345,220775,253767,212755,8702,242962,192937,41143,34557,25546,12985,255873,258775,124489,197578,137714,98068,133679,103726,310098,248679,61419,1388015,1160684,227331
22,Querétaro,000,Total de la entidad Querétaro,9998,LOCALIDADES DE UNA VIVIENDA,,,,3067,1671,1396,332,2707,610,2255,2027,197,603,666,1830,1066,764,2127,837,668,52,2463,576,2446,247,43,20,6,10,8,1,3000,502,105,1592,432,33,33,489,118,91,184,418,532,419,471,586,65,232,1422,299,287,1553,155,105,5,927,1179,69,0,68,2537,109,141,1149,1083,1143,503,345,270,173,202,387,233,36,40,14,172,177,366,366,619,607,2745,4.52,1.93,11,40,451,201,360,172,69,353,248,0,0,317,290,252,368,187,226,240,175,167,390,353,13,7,22,98,456,354,122,224,125,84,143,172,634,571,63,2746,2486,260
22,Querétaro,000,Total de la entidad Querétaro,9999,LOCALIDADES DE DOS VIVIENDAS,,,,2170,1110,1060,277,1861,501,1445,1294,132,432,491,1162,582,580,1758,363,357,6,1897,233,1779,72,51,24,9,11,7,1,2084,412,88,967,327,37,26,416,83,44,66,364,389,267,309,325,60,161,965,221,104,1063,62,33,4,610,742,24,1,23,1819,18,33,657,780,649,279,188,160,108,73,235,146,19,15,5,73,111,228,202,440,434,2146,4.94,2.30,13,35,286,155,264,129,52,205,222,1,0,170,174,119,218,90,108,133,85,157,325,304,10,3,9,94,301,220,50,105,52,36,60,74,446,375,71,2146,1857,289
22,Querétaro,001,Amealco de Bonfil,0000,TOTAL MUNICIPAL,,,,54591,26307,28284,7520,46456,14076,35207,30690,3752,10308,12504,26938,12645,14293,47117,6423,5109,1314,50371,3585,45061,1211,866,355,135,259,119,46,53015,11165,2873,22950,7712,861,723,11937,2074,1159,1513,8755,8201,8012,7028,7184,1086,4060,23244,5151,2033,24995,1107,590,4,13821,19157,13057,1475,11290,43698,1680,2352,13551,21502,13412,4761,4749,3529,3031,2254,4697,2382,347,129,205,2761,2447,4204,3203,10833,10718,54120,5.05,2.11,11,268,7765,2868,7464,2706,867,5111,5518,7,3,4996,7826,3637,8106,3320,3344,6684,3121,1263,9766,9326,169,323,65,1805,7526,6985,1407,2648,1456,649,2245,1944,10820,8870,1950,54122,46577,7545
22,Querétaro,001,Amealco de Bonfil,0001,AMEALCO,1000838,201108,2620,7007,3291,3716,799,6140,1537,4937,4431,482,1405,1960,3949,1761,2188,4467,2466,1953,532,5584,1361,5809,322,104,58,10,23,16,3,6811,1395,140,4128,302,143,25,1459,74,281,426,976,407,624,994,2361,175,1035,2026,1213,1148,2911,589,408,8,2106,2563,62,0,60,5987,100,127,2579,2349,2556,175,678,1626,132,268,838,905,235,75,26,409,524,681,857,1528,1514,6937,4.58,1.32,3,3,1482,193,1120,174,56,1456,41,3,0,1425,1496,1484,1490,1474,1473,1479,1463,3,1139,1096,28,279,56,19,1359,1430,640,958,671,445,1146,681,1574,1216,358,6937,5737,1200
22,Querétaro,001,Amealco de Bonfil,0002,AGUA BLANCA,1000630,201123,2620,87,38,49,5,78,20,64,57,8,19,22,49,22,27,68,15,15,0,78,5,77,1,0,0,0,0,0,0,82,17,3,54,3,1,0,16,4,2,2,17,11,16,20,10,3,6,47,9,1,49,0,0,4,33,29,2,0,2,78,0,0,27,37,27,14,9,4,9,0,13,2,0,0,0,3,4,16,4,19,18,83,4.61,1.69,0,0,16,1,17,2,0,14,4,0,0,12,16,10,18,9,10,16,9,0,18,17,0,0,0,1,15,13,2,10,8,0,5,7,18,16,2,83,79,4
22,Querétaro,001,Amealco de Bonfil,0003,"APARTADERO, EL",1000410,200915,2530,242,123,119,32,210,43,168,159,10,33,57,149,71,78,209,32,21,11,229,13,198,12,12,4,1,3,3,1,227,30,12,111,47,3,5,39,3,5,6,27,48,20,41,50,3,37,109,40,10,140,5,4,5,42,113,1,0,1,202,0,4,55,113,53,27,10,15,7,15,17,10,2,1,0,15,10,18,9,65,65,242,3.72,2.16,0,1,47,27,38,27,1,32,33,0,0,30,50,19,57,15,16,47,14,3,62,62,0,0,0,6,48,45,6,16,9,0,14,16,65,57,8,242,223,19
22,Querétaro,001,Amealco de Bonfil,0004,"ASERRIN, EL (OJO DE AGUA DEL HORNITO)",1001313,201812,2400,217,104,113,36,179,51,131,119,14,38,50,105,48,57,212,5,5,0,211,5,176,1,7,4,1,1,1,0,210,37,14,95,24,4,4,45,6,2,2,36,40,21,51,7,3,4,112,7,0,105,0,0,4,58,62,0,0,0,177,0,0,21,106,21,3,12,6,0,3,13,5,0,0,0,3,11,4,3,36,36,217,6.03,2.38,0,0,28,6,29,7,1,15,21,0,0,24,33,18,35,18,18,33,18,1,34,34,0,0,0,3,25,30,6,13,6,3,5,7,37,32,5,217,192,25
22,Querétaro,001,Amealco de Bonfil,0005,"ATORON, EL",1000154,201058,2450,362,176,186,43,310,63,249,235,16,58,84,219,100,119,341,12,11,1,325,27,291,17,9,4,1,2,3,1,344,50,13,182,53,11,0,61,2,3,3,55,49,63,67,55,6,43,179,49,6,212,5,1,5,77,152,2,0,2,235,73,74,69,180,68,42,8,14,41,0,12,6,0,2,2,21,8,27,5,85,83,354,4.27,1.71,2,0,67,15,66,18,2,40,42,0,0,39,6,9,63,1,8,4,1,16,73,72,1,0,0,6,67,49,7,20,9,1,3,17,84,68,16,354,271,83
22,Querétaro,001,Amealco de Bonfil,0006,"BATAN, EL",1001107,201812,2430,359,171,188,35,314,79,256,228,33,76,81,195,91,104,279,68,15,53,333,17,306,8,3,2,0,0,0,1,347,65,14,179,49,4,2,67,12,11,11,64,54,80,53,40,10,23,187,33,7,190,3,2,4,100,131,2,0,2,307,6,6,51,205,51,26,14,9,4,3,23,17,3,0,0,15,22,9,4,89,87,351,4.03,1.45,0,1,78,18,67,17,3,62,24,0,0,13,73,9,77,9,9,71,9,7,85,84,0,1,0,8,72,72,16,24,15,1,6,20,87,69,18,351,296,55
22,Querétaro,001,Amealco de Bonfil,0008,"CAPULIN, EL",1001030,200938,2690,44,20,24,6,38,14,27,21,3,8,8,18,9,9,42,2,2,0,44,0,38,0,1,1,0,0,0,0,43,12,2,15,6,2,1,11,3,0,0,8,5,14,2,0,0,0,21,0,0,18,0,0,2,10,16,0,0,0,38,0,0,16,11,16,7,7,2,6,0,8,2,0,0,1,1,0,4,10,8,8,44,5.50,2.32,0,1,2,1,7,2,0,0,8,0,0,1,0,0,0,0,0,0,0,8,8,8,0,0,1,3,5,2,1,1,1,1,1,1,8,8,0,44,44,0
22,Querétaro,001,Amealco de Bonfil,0009,"CARMEN, EL (STGO. MEXQUITITLAN BARRIO 6TO.)",1000555,200312,2340,635,316,319,92,539,166,400,349,47,125,140,302,145,157,612,19,6,13,621,7,539,0,6,1,0,2,3,0,622,117,49,212,137,10,14,136,30,13,16,109,136,109,49,53,14,20,294,34,19,287,12,1,3,144,237,488,124,358,359,84,165,19,381,19,0,14,5,0,1,13,4,1,0,0,2,2,13,2,109,108,631,5.84,3.20,1,13,46,46,61,29,28,30,78,0,0,52,85,18,63,12,7,57,5,13,102,101,0,0,0,39,54,35,5,4,3,0,2,7,108,92,16,631,549,82
22,Querétaro,001,Amealco de Bonfil,0010,"COFRADIA, LA",1000812,201335,2500,57,36,21,4,49,15,36,32,3,9,9,29,16,13,42,11,11,0,49,4,49,0,2,1,0,0,1,0,51,13,2,26,6,0,2,12,3,0,0,9,5,8,8,2,0,2,21,2,0,21,0,0,4,15,20,0,0,0,49,0,0,15,20,15,13,1,1,6,6,3,0,0,0,0,2,0,0,12,11,10,53,5.30,4.08,0,0,9,7,3,6,1,5,5,0,0,1,3,0,5,0,0,3,0,5,4,4,0,0,0,2,7,6,0,2,1,0,0,1,10,10,0,53,53,0
22,Querétaro,001,Amealco de Bonfil,0012,"VARAL, EL",1001120,200644,2570,438,232,206,53,385,153,262,213,34,75,84,179,94,85,435,1,1,0,431,5,380,2,7,0,3,3,0,2,428,128,24,160,52,6,11,140,11,17,20,55,53,72,56,26,18,8,181,26,0,173,0,0,4,109,139,40,0,40,327,42,49,100,160,99,44,38,11,28,16,22,24,1,0,12,10,16,19,33,80,80,438,5.48,2.94,0,1,37,32,44,28,10,10,65,0,0,44,55,1,59,1,1,48,1,11,74,73,1,0,0,18,47,42,1,1,0,0,0,4,80,63,17,438,345,93
22,Querétaro,001,Amealco de Bonfil,0013,CHITEJE DE LA CRUZ,1000916,200907,2670,716,356,360,103,607,182,459,406,55,142,160,351,173,178,625,84,73,11,693,13,597,8,5,2,0,1,2,0,703,143,37,331,74,13,6,152,28,11,16,126,72,149,101,84,12,65,322,77,7,347,4,0,4,191,241,28,0,24,595,6,7,184,268,181,49,103,16,27,16,87,38,1,0,1,7,2,134,22,146,145,712,4.91,2.16,0,2,98,29,116,30,5,31,114,0,0,33,100,16,96,15,14,83,13,31,133,133,0,1,0,23,111,81,18,16,6,0,15,10,146,127,19,712,643,69
22,Querétaro,001,Amealco de Bonfil,0014,DONICA,1000420,200225,2395,842,393,449,92,746,197,593,526,42,109,196,484,233,251,769,69,42,27,748,88,738,7,16,12,2,2,0,0,822,175,22,425,101,17,6,177,20,18,22,87,102,201,93,130,22,64,396,86,44,447,24,13,5,197,364,4,0,3,726,8,18,222,370,220,149,26,41,25,49,118,22,5,0,0,20,64,97,38,221,220,838,3.81,1.38,0,0,200,31,177,33,4,191,28,0,0,180,211,118,202,117,116,198,116,3,212,212,0,1,2,9,178,190,55,122,70,31,105,66,224,181,43,838,728,110
22,Querétaro,001,Amealco de Bonfil,0016,GALINDILLO,1000639,201649,2270,271,134,137,37,234,46,193,181,18,45,64,163,81,82,258,11,11,0,256,15,233,1,6,5,0,0,1,0,261,43,3,131,50,3,1,44,1,3,3,42,22,52,59,22,5,16,133,21,1,136,1,0,4,67,112,0,0,0,221,12,12,78,115,78,60,10,3,48,5,20,3,0,0,0,9,10,48,10,73,73,271,3.71,1.51,0,1,56,14,56,13,4,19,54,0,0,39,53,2,55,2,2,43,2,6,68,65,0,0,0,10,54,41,4,27,9,0,9,20,73,61,12,271,231,40
