"entidad","nom_ent","mun","nom_mun","loc","nom_loc","longitud","latitud","altitud","pobtot","pobmas","pobfem","p_0a2","p_0a2_m","p_0a2_f","p_3ymas","p_3ymas_m","p_3ymas_f","p_5ymas","p_5ymas_m","p_5ymas_f","p_12ymas","p_12ymas_m","p_12ymas_f","p_15ymas","p_15ymas_m","p_15ymas_f","p_18ymas","p_18ymas_m","p_18ymas_f","p_3a5","p_3a5_m","p_3a5_f","p_6a11","p_6a11_m","p_6a11_f","p_8a14","p_8a14_m","p_8a14_f","p_12a14","p_12a14_m","p_12a14_f","p_15a17","p_15a17_m","p_15a17_f","p_18a24","p_18a24_m","p_18a24_f","p_15a49_f","p_60ymas","p_60ymas_m","p_60ymas_f","rel_h_m","pob0_14","pob15_64","pob65_mas","prom_hnv","pnacent","pnacent_m","pnacent_f","pnacoe","pnacoe_m","pnacoe_f","pres2005","pres2005_m","pres2005_f","presoe05","presoe05_m","presoe05_f","p3ym_hli","p3ym_hli_m","p3ym_hli_f","p3hlinhe","p3hlinhe_m","p3hlinhe_f","p3hli_he","p3hli_he_m","p3hli_he_f","p5_hli","p5_hli_nhe","p5_hli_he","phog_ind","pcon_lim","pclim_mot","pclim_vis","pclim_leng","pclim_aud","pclim_mot2","pclim_men","pclim_men2","psin_lim","p3a5_noa","p3a5_noa_m","p3a5_noa_f","p6a11_noa","p6a11_noam","p6a11_noaf","p12a14noa","p12a14noam","p12a14noaf","p15a17a","p15a17a_m","p15a17a_f","p18a24a","p18a24a_m","p18a24a_f","p8a14an","p8a14an_m","p8a14an_f","p15ym_an","p15ym_an_m","p15ym_an_f","p15ym_se","p15ym_se_m","p15ym_se_f","p15pri_in","p15pri_inm","p15pri_inf","p15pri_co","p15pri_com","p15pri_cof","p15sec_in","p15sec_inm","p15sec_inf","p15sec_co","p15sec_com","p15sec_cof","p18ym_pb","p18ym_pb_m","p18ym_pb_f","graproes","graproes_m","graproes_f","pea","pea_m","pea_f","pe_inac","pe_inac_m","pe_inac_f","pocupada","pocupada_m","pocupada_f","pdesocup","pdesocup_m","pdesocup_f","psinder","pder_ss","pder_imss","pder_iste","pder_istee","pder_segp","p12ym_solt","p12ym_casa","p12ym_sepa","pcatolica","pncatolica","potras_rel","psin_relig","tothog","hogjef_m","hogjef_f","pobhog","phogjef_m","phogjef_f","vivtot","tvivhab","tvivpar","vivpar_hab","tvivparhab","vivpar_des","vivpar_ut","ocupvivpar","prom_ocup","pro_ocup_c","vph_pisodt","vph_pisoti","vph_1dor","vph_2ymasd","vph_1cuart","vph_2cuart","vph_3ymasc","vph_c_elec","vph_s_elec","vph_aguadv","vph_aguafv","vph_excsa","vph_drenaj","vph_nodren","vph_c_serv","vph_snbien","vph_radio","vph_tv","vph_refri","vph_lavad","vph_autom","vph_pc","vph_telef","vph_cel","vph_inter","tam_loc"
22,Querétaro,000,Total de la entidad Querétaro,0000,Total de la Entidad,,,,1827937,887188,940749,105879,54014,51865,1709117,826692,882425,1636080,789734,846346,1378252,658918,719334,1269931,604051,665880,1155920,546973,608947,109057,55339,53718,221808,112435,109373,257096,130395,126701,108321,54867,53454,114011,57078,56933,241750,116543,125207,522410,136381,62529,73852,94.31,545065,1176541,93390,2.27,1377480,671065,706415,422346,202017,220329,1514796,725951,788845,94336,45598,48738,30256,14904,15352,1059,208,851,26417,13225,13192,29585,1016,25887,53739,66963,36039,18972,6014,7178,3763,4049,6935,1739865,46407,23807,22600,4502,2415,2087,8162,4455,3707,74432,36287,38145,63095,31180,31915,6933,4146,2787,80182,28532,51650,93378,37228,56150,119099,54456,64643,214600,96965,117635,62660,34850,27810,302955,151620,151335,436430,211959,224471,8.92,9.14,8.73,755956,486297,269659,616586,169248,447338,714830,453631,261199,41126,32666,8460,460320,1351726,725813,73867,2954,506338,519664,748781,107723,1680681,78691,1338,38047,450104,342043,108061,1810445,1438894,371551,573758,454392,569470,450104,454224,83895,35471,1810445,4.02,1.02,430843,16842,135584,313055,24970,64688,358358,439566,9275,411735,36302,417510,409186,37880,384321,9296,371261,422501,378084,296880,238021,153832,185897,318068,110225,
22,Querétaro,000,Total de la entidad Querétaro,9998,Localidades de una vivienda,,,,2171,1195,976,108,62,46,2029,1116,913,1945,1067,878,1636,888,748,1511,830,681,1389,766,623,120,68,52,273,160,113,310,170,140,125,58,67,122,64,58,251,135,116,480,303,190,113,*,626,1298,213,*,1716,936,780,404,233,171,1812,991,821,102,58,44,34,17,17,1,1,0,31,16,15,34,1,31,65,102,56,25,14,18,4,3,7,2020,58,31,27,10,4,6,12,4,8,63,31,32,47,24,23,21,11,10,225,108,117,284,152,132,227,121,106,273,150,123,71,46,25,283,149,134,346,202,144,*,*,*,870,692,178,754,187,567,851,675,176,19,17,2,796,1338,458,44,2,794,620,866,146,2021,42,11,36,544,474,70,2023,1758,265,857,560,841,544,555,148,149,2023,*,*,441,95,247,290,56,117,363,373,163,245,288,379,355,179,207,64,380,375,298,214,285,94,61,318,50,
22,Querétaro,000,Total de la entidad Querétaro,9999,Localidades de dos viviendas,,,,2093,1257,836,94,54,40,1986,1196,790,1920,1171,749,1692,1049,643,1585,989,596,1482,934,548,92,39,53,202,108,94,248,134,114,107,60,47,103,55,48,268,162,106,419,250,142,108,*,495,1407,178,*,1596,925,671,470,316,154,1736,1032,704,157,120,37,36,30,6,2,2,0,33,27,6,35,2,32,25,152,74,51,11,21,4,4,7,1924,51,19,32,12,9,3,20,15,5,51,22,29,93,73,20,14,13,1,215,101,114,261,131,130,226,135,91,392,259,133,83,60,23,373,261,112,235,135,100,*,*,*,1053,890,163,632,153,479,1025,867,158,28,23,5,949,1128,288,29,7,738,623,901,168,1901,82,2,51,423,347,76,1637,1355,282,666,428,661,423,427,126,112,1637,*,*,353,62,178,241,34,100,285,297,120,192,224,280,260,152,148,57,286,286,222,157,182,65,46,226,34,
22,Querétaro,001,Amealco de Bonfil,0000,Total del Municipio,,,,62197,29842,32355,4148,2152,1996,58015,27673,30342,55083,26211,28872,44146,20719,23427,39483,18389,21094,34849,16136,18713,4409,2213,2196,9460,4741,4719,11068,5524,5544,4663,2330,2333,4634,2253,2381,7836,3593,4243,16116,5426,2414,3012,92.23,22680,35395,4088,3.01,57204,27645,29559,4493,1947,2546,52987,24957,28030,923,412,511,15426,7360,8066,887,149,738,14191,7033,7158,15028,857,13838,23332,2328,1316,569,213,273,106,113,256,59313,2123,1085,1038,298,168,130,636,317,319,2294,1047,1247,908,393,515,737,413,324,6850,2390,4460,7231,2692,4539,7548,3885,3663,8995,4309,4686,2024,1121,903,8595,4199,4396,4167,1822,2345,5.89,6.05,5.75,20467,15637,4830,23324,4886,18438,19079,14368,4711,1388,1269,119,15295,46780,4341,1318,48,40557,17213,23400,3423,57029,2957,1,761,13824,10587,3237,62169,50078,12091,18256,13832,18248,13824,13830,2695,1729,62169,4.50,1.31,12632,1079,5340,8418,737,2699,10304,12538,1218,12116,1636,8964,8152,5553,7562,1402,9426,11256,7601,4161,4884,975,1753,4636,451,
22,Querétaro,001,Amealco de Bonfil,0001,Amealco de Bonfil,1000840,201112,2629,7698,3562,4136,434,224,210,7261,3336,3925,6949,3176,3773,5858,2633,3225,5422,2437,2985,4919,2207,2712,469,237,232,934,466,468,1050,495,555,436,196,240,503,230,273,1020,487,533,2245,681,293,388,86.12,2273,4939,483,2.24,6380,2959,3421,1247,561,686,6662,3031,3631,180,78,102,44,21,23,0,0,0,37,19,18,42,0,36,97,218,150,33,20,12,31,14,32,7399,153,84,69,12,6,6,22,9,13,389,167,222,327,144,183,9,7,2,242,81,161,365,145,220,500,205,295,978,413,565,223,124,99,1348,663,685,1772,797,975,8.84,8.98,8.74,3170,1941,1229,2652,673,1979,3041,1841,1200,129,100,29,2738,4943,1493,567,6,2600,2409,2999,428,7368,157,1,90,1865,1326,539,7692,5894,1798,2361,1866,2360,1865,1865,319,176,7692,4.12,0.96,1839,18,476,1380,48,190,1618,1848,12,1855,5,1852,1847,6,1835,24,1506,1764,1566,1162,1105,544,829,1151,352,6
22,Querétaro,001,Amealco de Bonfil,0002,Agua Blanca,1000631,201126,2620,67,36,31,6,2,4,61,34,27,61,34,27,54,29,25,52,27,25,49,26,23,0,0,0,7,5,2,6,5,1,2,2,0,3,1,2,5,1,4,16,16,11,5,116.13,15,39,13,4.08,67,36,31,0,0,0,58,31,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,7,0,2,0,0,0,57,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,2,1,1,14,8,6,16,8,8,1,1,0,15,9,6,3,0,3,6.33,6,6.68,33,24,9,21,5,16,26,19,7,7,5,2,29,38,5,0,0,33,21,29,4,65,0,0,0,15,14,1,67,59,8,24,15,24,15,15,4,5,67,4.47,1.14,14,1,5,10,0,2,13,15,0,15,0,15,15,0,15,0,13,15,15,10,13,0,0,14,0,1
22,Querétaro,001,Amealco de Bonfil,0003,El Apartadero,1000405,200918,2539,233,114,119,10,3,7,222,111,111,212,104,108,169,86,83,154,78,76,138,66,72,14,7,7,39,18,21,40,20,20,15,8,7,16,12,4,11,3,8,46,39,18,21,95.80,78,120,34,3.47,227,112,115,6,2,4,207,99,108,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,1,0,1,1,1,1,218,6,3,3,0,0,0,0,0,0,9,5,4,1,0,1,1,1,0,24,11,13,28,14,14,29,13,16,27,16,11,7,7,0,47,22,25,11,4,7,5.90,5.83,5.97,76,67,9,90,17,73,65,58,7,11,9,2,33,200,23,0,0,177,54,103,12,232,1,0,0,64,51,13,233,199,34,78,64,78,64,64,8,6,233,3.64,1.08,62,2,25,39,1,10,53,61,3,57,7,45,30,34,28,1,51,56,48,28,29,1,0,24,0,1
22,Querétaro,001,Amealco de Bonfil,0004,El Aserrín (Ojo de Agua del Hornito),1001309,201811,2397,269,134,135,18,10,8,251,124,127,237,117,120,180,91,89,162,79,83,139,65,74,26,12,14,45,21,24,51,29,22,18,12,6,23,14,9,34,13,21,65,23,10,13,99.26,107,150,12,3.27,264,131,133,2,0,2,229,111,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,1,2,1,1,1,2,257,11,5,6,0,0,0,8,5,3,9,6,3,1,0,1,1,0,1,19,9,10,37,18,19,25,11,14,74,38,36,6,4,2,15,6,9,4,2,2,4.67,4.63,4.71,79,70,9,99,21,78,76,68,8,3,2,1,30,239,3,0,0,236,82,87,10,268,0,0,0,53,42,11,269,237,32,72,53,72,53,53,17,2,269,5.08,1.34,51,2,14,39,0,6,47,53,0,50,3,46,45,8,44,0,32,52,43,15,30,1,0,27,0,2
22,Querétaro,001,Amealco de Bonfil,0005,El Atorón,1000159,201101,2447,348,170,178,14,6,8,334,164,170,329,163,166,274,134,140,248,119,129,223,107,116,14,5,9,46,25,21,55,31,24,26,15,11,25,12,13,33,16,17,88,53,27,26,95.51,100,207,41,3.32,326,163,163,20,7,13,329,163,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,28,12,4,4,0,2,3,302,3,1,2,1,0,1,2,1,1,14,7,7,5,2,3,5,3,2,28,14,14,37,18,19,36,18,18,75,32,43,16,11,5,65,32,33,13,5,8,5.95,5.95,5.95,128,103,25,146,31,115,128,103,25,0,0,0,75,273,16,8,0,247,111,140,23,275,66,0,2,90,72,18,348,291,57,120,90,120,90,90,24,6,348,3.87,1.11,85,5,36,54,2,10,78,78,12,81,9,59,56,34,49,7,63,72,60,27,31,1,1,13,0,2
22,Querétaro,001,Amealco de Bonfil,0006,El Batán,1001109,201815,2315,411,199,212,30,17,13,379,181,198,361,173,188,308,145,163,285,138,147,261,125,136,27,12,15,44,24,20,53,24,29,23,7,16,24,13,11,57,29,28,104,53,26,27,93.87,124,243,42,3.09,401,192,209,7,5,2,350,168,182,8,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,2,400,10,3,7,3,3,0,6,3,3,9,6,3,2,1,1,0,0,0,39,14,25,55,27,28,55,28,27,85,35,50,16,10,6,65,34,31,6,3,3,5.24,5.33,5.16,130,113,17,176,32,144,60,46,14,70,67,3,71,337,32,42,1,261,114,161,33,406,0,0,0,114,79,35,411,301,110,155,114,155,114,114,27,14,411,3.61,1.17,106,8,53,61,4,35,75,104,10,106,7,39,36,72,35,6,83,103,75,45,46,4,0,72,0,2
